epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.284,1.8758,2.6551,1.38137,0.00745,0.65497,0.20778,0.11135,1.35597,3.37809,1.1678,0.000543038,0.000543038,0.000543038
2,376.345,1.61559,1.60214,1.20626,0.74529,0.37444,0.55846,0.26849,1.46861,2.54041,1.307,0.00109844,0.00109844,0.00109844
3,563.866,1.57211,1.39319,1.21892,0.74924,0.54335,0.63358,0.3222,1.54063,1.85573,1.37022,0.00165276,0.00165276,0.00165276
4,751.683,1.51619,1.27048,1.16766,0.72287,0.50738,0.53055,0.28698,1.58481,1.98821,1.56839,0.00166334,0.00166334,0.00166334
5,939.516,1.48024,1.17059,1.1802,0.78122,0.68441,0.74487,0.40059,1.48152,1.97047,1.38331,0.00166049,0.00166049,0.00166049
6,1126.77,1.44537,1.1206,1.16801,0.81884,0.63197,0.72011,0.37802,1.40099,1.30001,1.2954,0.00165684,0.00165684,0.00165684
7,1314.35,1.41773,1.0574,1.16322,0.65312,0.67316,0.66992,0.36479,1.49474,1.38899,1.42854,0.00165238,0.00165238,0.00165238
8,1501.86,1.41391,1.06573,1.15359,0.76143,0.72042,0.75838,0.40131,1.35416,1.34605,1.3143,0.00164713,0.00164713,0.00164713
9,1689.24,1.39277,0.99565,1.13432,0.79266,0.63441,0.72647,0.40125,1.47128,1.56561,1.31399,0.00164108,0.00164108,0.00164108
10,1877.01,1.40546,1.01221,1.14582,0.79459,0.65542,0.73589,0.40474,1.41974,1.33079,1.29925,0.00163424,0.00163424,0.00163424
11,2063.76,1.40055,0.98159,1.14461,0.83258,0.66891,0.77123,0.40857,1.38717,1.11724,1.27573,0.00162661,0.00162661,0.00162661
12,2250.38,1.3636,0.93009,1.13703,0.76102,0.68714,0.74079,0.42456,1.32296,1.08742,1.23599,0.00161822,0.00161822,0.00161822
13,2437,1.39257,0.95083,1.14624,0.78927,0.67178,0.73215,0.38733,1.44992,1.22222,1.39727,0.00160905,0.00160905,0.00160905
14,2623.7,1.37655,0.91167,1.1208,0.82389,0.65987,0.73949,0.41312,1.47785,1.06365,1.34077,0.00159913,0.00159913,0.00159913
15,2810.37,1.33668,0.88632,1.12017,0.80404,0.65385,0.73187,0.40396,1.37097,1.13229,1.33604,0.00158847,0.00158847,0.00158847
16,2996.87,1.33507,0.86999,1.10998,0.85074,0.72757,0.77499,0.43624,1.33564,1.02232,1.29017,0.00157706,0.00157706,0.00157706
17,3184.05,1.33264,0.86151,1.11289,0.79264,0.72065,0.78927,0.45086,1.35565,0.97066,1.29873,0.00156493,0.00156493,0.00156493
18,3371.05,1.30602,0.84851,1.08304,0.79361,0.7198,0.81678,0.46775,1.33845,1.23632,1.29629,0.00155209,0.00155209,0.00155209
19,3557.7,1.30455,0.84435,1.10178,0.8041,0.68693,0.76791,0.41278,1.39474,1.01217,1.31474,0.00153854,0.00153854,0.00153854
20,3744.5,1.31873,0.83258,1.09385,0.90335,0.64822,0.78492,0.4662,1.28662,0.83538,1.24109,0.00152431,0.00152431,0.00152431
21,3931.44,1.28777,0.81066,1.1032,0.7984,0.74046,0.78585,0.4616,1.29296,0.87705,1.32539,0.00150941,0.00150941,0.00150941
22,4118.58,1.29746,0.83267,1.09344,0.79111,0.71657,0.74777,0.42565,1.30917,0.97545,1.25624,0.00149384,0.00149384,0.00149384
23,4305.78,1.28912,0.79854,1.09807,0.791,0.75416,0.78834,0.45104,1.32002,0.85272,1.30873,0.00147764,0.00147764,0.00147764
24,4492.62,1.30738,0.81924,1.09637,0.83777,0.70215,0.78919,0.46759,1.35237,0.87926,1.28213,0.0014608,0.0014608,0.0014608
25,4679.37,1.30929,0.79455,1.09199,0.84483,0.72979,0.80476,0.47203,1.28264,0.88463,1.23987,0.00144335,0.00144335,0.00144335
26,4866.07,1.25696,0.77491,1.08109,0.88624,0.74919,0.8087,0.46784,1.25623,0.7961,1.25755,0.00142531,0.00142531,0.00142531
27,5052.79,1.26646,0.77859,1.08153,0.80661,0.74259,0.78742,0.44487,1.36062,0.87367,1.35057,0.0014067,0.0014067,0.0014067
28,5239.47,1.26461,0.79596,1.07749,0.83398,0.74317,0.79187,0.46138,1.28609,0.88002,1.26212,0.00138753,0.00138753,0.00138753
29,5426.24,1.2821,0.78354,1.07716,0.83107,0.74556,0.82209,0.47575,1.29249,0.96608,1.22858,0.00136781,0.00136781,0.00136781
30,5612.75,1.27305,0.75641,1.08131,0.89229,0.74784,0.83849,0.49381,1.31035,0.80861,1.33897,0.00134758,0.00134758,0.00134758
31,5799.54,1.24569,0.7492,1.07123,0.86692,0.70432,0.80974,0.47904,1.19827,0.81459,1.19604,0.00132685,0.00132685,0.00132685
32,5985.9,1.25335,0.74109,1.06166,0.90418,0.76325,0.8336,0.50086,1.259,0.72591,1.21349,0.00130565,0.00130565,0.00130565
33,6172.42,1.25152,0.74716,1.06151,0.88167,0.79241,0.86855,0.50258,1.31531,0.7619,1.27899,0.00128398,0.00128398,0.00128398
34,6359.38,1.24081,0.74514,1.0547,0.8747,0.69266,0.82771,0.50508,1.2012,0.78621,1.18498,0.00126188,0.00126188,0.00126188
35,6546,1.24143,0.72155,1.07283,0.89207,0.76815,0.84525,0.48164,1.3549,0.75039,1.29365,0.00123936,0.00123936,0.00123936
36,6732.4,1.23495,0.72962,1.07536,0.86347,0.73479,0.82039,0.44127,1.29231,0.8201,1.22497,0.00121645,0.00121645,0.00121645
37,6918.79,1.20227,0.68813,1.05531,0.8304,0.76268,0.83836,0.49327,1.21338,0.75698,1.1754,0.00119317,0.00119317,0.00119317
38,7105.57,1.22671,0.72968,1.05549,0.83357,0.84683,0.86695,0.48483,1.20965,0.71666,1.17625,0.00116955,0.00116955,0.00116955
39,7292.09,1.21897,0.70933,1.05578,0.8784,0.76358,0.82565,0.48605,1.22822,0.74089,1.23871,0.0011456,0.0011456,0.0011456
40,7478.27,1.25034,0.73066,1.07135,0.79075,0.78617,0.83324,0.49137,1.16384,0.76252,1.1448,0.00112135,0.00112135,0.00112135
41,7664.54,1.20438,0.70821,1.0564,0.82234,0.78212,0.85114,0.49596,1.21451,0.69198,1.22261,0.00109683,0.00109683,0.00109683
42,7851.01,1.20239,0.70762,1.0483,0.87535,0.75219,0.83019,0.49611,1.29065,0.73082,1.25635,0.00107205,0.00107205,0.00107205
43,8037.31,1.19784,0.68323,1.04311,0.85998,0.83016,0.8802,0.51456,1.28699,0.69412,1.20742,0.00104705,0.00104705,0.00104705
44,8224.09,1.18376,0.67813,1.0362,0.91406,0.75514,0.8387,0.48383,1.27064,0.79099,1.21919,0.00102184,0.00102184,0.00102184
45,8410.41,1.2022,0.68314,1.05232,0.86725,0.81699,0.87157,0.50722,1.26445,0.71042,1.20908,0.000996456,0.000996456,0.000996456
46,8597.31,1.19782,0.67883,1.04116,0.90491,0.77605,0.85135,0.51176,1.25158,0.72972,1.18728,0.000970919,0.000970919,0.000970919
47,8784,1.18835,0.67058,1.039,0.86796,0.80139,0.85807,0.4913,1.23947,0.75914,1.18217,0.000945256,0.000945256,0.000945256
48,8970.4,1.189,0.66158,1.05325,0.93093,0.7903,0.8798,0.47943,1.34131,0.75007,1.22969,0.00091949,0.00091949,0.00091949
49,9157.3,1.18245,0.66307,1.03862,0.92717,0.75593,0.85437,0.49561,1.27629,0.68992,1.21305,0.000893648,0.000893648,0.000893648
50,9344.03,1.16322,0.64941,1.04182,0.91326,0.78956,0.86604,0.48987,1.20144,0.67617,1.16832,0.000867754,0.000867754,0.000867754
51,9530.33,1.18814,0.66994,1.04336,0.86213,0.81181,0.84932,0.49633,1.19011,0.66478,1.14306,0.000841835,0.000841835,0.000841835
52,9716.9,1.18174,0.6621,1.03537,0.8927,0.75998,0.84402,0.49492,1.30035,0.71594,1.23354,0.000815916,0.000815916,0.000815916
53,9903.09,1.15392,0.64191,1.03457,0.92436,0.79118,0.84097,0.49804,1.23851,0.67107,1.19956,0.000790022,0.000790022,0.000790022
54,10089.6,1.15644,0.632,1.03059,0.83619,0.80745,0.8479,0.5069,1.21435,0.67313,1.19171,0.00076418,0.00076418,0.00076418
55,10276,1.1353,0.64202,1.02484,0.8958,0.80704,0.8777,0.51686,1.19387,0.65674,1.13985,0.000738414,0.000738414,0.000738414
56,10462.5,1.14334,0.62434,1.02088,0.92614,0.8164,0.89926,0.52005,1.20449,0.64582,1.17622,0.000712751,0.000712751,0.000712751
57,10648.9,1.1417,0.62823,1.0282,0.89108,0.81879,0.86359,0.50546,1.20463,0.65573,1.19165,0.000687214,0.000687214,0.000687214
58,10835.1,1.11629,0.61414,1.01533,0.93017,0.8287,0.88926,0.5165,1.28843,0.6726,1.23833,0.000661831,0.000661831,0.000661831
59,11021.5,1.14323,0.60838,1.01648,0.91186,0.80365,0.88464,0.52371,1.24733,0.63499,1.20842,0.000636625,0.000636625,0.000636625
60,11208,1.11731,0.60492,1.00559,0.88932,0.80942,0.87491,0.51146,1.23301,0.63391,1.19248,0.000611621,0.000611621,0.000611621
61,11394.7,1.12286,0.5916,1.0056,0.94271,0.80416,0.89705,0.52485,1.23566,0.63605,1.1989,0.000586845,0.000586845,0.000586845
62,11581.2,1.1184,0.59872,1.00981,0.88018,0.81722,0.87182,0.50475,1.22864,0.64606,1.16812,0.00056232,0.00056232,0.00056232
63,11767.5,1.08726,0.58196,1.00147,0.93137,0.79181,0.89186,0.5372,1.16276,0.61424,1.14731,0.000538072,0.000538072,0.000538072
64,11953.8,1.12003,0.58856,1.01438,0.87511,0.81043,0.86916,0.519,1.20691,0.63696,1.15056,0.000514122,0.000514122,0.000514122
65,12140.5,1.09052,0.57943,0.99294,0.93219,0.81331,0.89454,0.52807,1.20182,0.59326,1.17035,0.000490497,0.000490497,0.000490497
66,12327.2,1.09607,0.58079,1.00135,0.90824,0.82359,0.87456,0.52398,1.17051,0.58469,1.16917,0.000467218,0.000467218,0.000467218
67,12514.3,1.10425,0.58789,1.00405,0.91589,0.78864,0.87394,0.49356,1.21548,0.61303,1.16822,0.000444309,0.000444309,0.000444309
68,12701.2,1.10609,0.57915,0.99466,0.92574,0.8338,0.90948,0.52768,1.17779,0.57319,1.17496,0.000421792,0.000421792,0.000421792
69,12888.5,1.1001,0.58515,1.00027,0.88825,0.84691,0.88987,0.528,1.14755,0.61208,1.13445,0.000399689,0.000399689,0.000399689
70,13075.3,1.08922,0.57506,1.00833,0.89122,0.87128,0.90576,0.52854,1.15394,0.58918,1.14291,0.000378023,0.000378023,0.000378023
